Source,Target,weight
1,20,1
1,9,5
1,21,5
2,13,1
3,13,1
4,22,1
4,23,1
4,24,9
5,10,1
6,13,1
7,13,5
7,14,2
8,25,2
8,9,2
9,21,1
8,10,1
11,13,1
12,13,2
13,14,1
13,15,1
8,16,1
17,26,1
17,27,1
17,28,1
17,29,1
17,30,1
8,17,9
9,17,1
17,23,1
13,18,1
19,20,1
8,19,1
9,19,2
10,19,1
19,25,1
